internal,end-to-end
0.188,0.246
0.218,0.283
0.237,0.307
0.197,0.303
0.169,0.271
0.198,0.331
0.179,0.326
0.194,0.352
0.197,0.319
0.168,22.435
0.18,21.601
0.2,20.799
0.229,20.037
0.188,19.183
0.177,18.352
0.188,17.543
0.182,16.713
0.179,15.853
0.176,14.992
0.214,14.206
0.208,13.376
0.182,12.566
0.178,11.745
0.186,10.921
0.18,10.097
0.173,9.264
0.194,8.449
0.175,7.615
0.169,6.783
0.18,5.964
0.175,5.107
0.183,4.217
0.187,3.285
0.171,2.358
0.174,1.454
0.192,0.552
0.221,0.372
0.204,0.366
0.2,0.342
0.191,0.278
0.196,0.287
0.169,0.242
0.256,0.357
0.194,0.247
0.171,0.234
0.17,0.278
0.18,0.284
0.185,0.295
0.173,0.316
0.189,0.35
