internal,end-to-end
0.185,0.246
0.171,0.248
0.177,0.247
0.173,0.292
0.171,0.269
0.184,0.268
0.154,0.282
0.166,0.305
0.15,0.291
0.19,22.471
0.173,21.627
0.171,20.795
0.183,19.969
0.183,19.146
0.176,18.302
0.185,17.488
0.199,16.676
0.174,15.823
0.175,14.999
0.189,14.186
0.183,13.371
0.165,12.526
0.155,11.678
0.191,10.891
0.179,10.076
0.157,9.235
0.159,8.403
0.153,7.54
0.155,6.687
0.211,5.908
0.159,5.048
0.172,4.176
0.18,3.306
0.174,2.44
0.185,1.556
0.168,0.662
0.198,0.351
0.162,0.294
0.17,0.305
0.174,0.248
0.166,0.249
0.178,0.243
0.162,0.233
0.181,0.25
0.166,0.235
0.196,0.297
0.177,0.289
0.183,0.28
0.174,0.325
0.166,0.295
