internal,end-to-end
0.557,0.634
0.775,2.49
9.987,14.452
2.022,12.989
0.201,6.365
0.165,2.865
0.736,2.351
2.968,5.52
8.543,13.478
0.293,34.355
0.896,32.275
0.563,31.802
10.794,72.241
1.488,76.998
3.024,92.01
2.565,99.623
5.236,105.314
1.943,106.84
4.502,110.526
4.87,116.746
1.533,119.036
4.655,122.639
2.506,133.775
6.144,139.022
6.028,145.038
2.497,148.129
3.007,150.661
1.813,151.456
0.438,165.642
1.682,166.319
2.316,178.264
0.981,178.208
4.333,181.928
1.209,183.475
1.091,183.764
2.906,186.188
0.628,223.367
5.775,222.78
6148914691.362,247.101
9.861,272.251
3074457351.319,337.209
3.465,396.662
2.262,402.089
4.178,401.339
4.933,469.891
12.571,507.163
5.661,511.88
0.555,539.304
