internal,end-to-end
0.157,0.215
0.156,0.221
0.157,0.225
0.154,0.242
0.146,0.239
0.158,0.242
0.171,0.286
0.14,0.25
0.174,0.288
0.143,22.376
0.164,21.538
0.151,20.678
0.163,19.835
0.167,19.004
0.16,18.165
0.169,17.328
0.15,16.486
0.149,15.626
0.151,14.757
0.151,13.898
0.139,13.02
0.174,12.18
0.15,11.318
0.153,10.466
0.163,9.602
0.148,8.749
0.159,7.903
0.161,7.057
0.154,6.204
0.144,5.341
0.154,4.487
0.158,3.63
0.175,2.785
0.148,1.918
0.155,1.069
0.146,0.228
0.154,0.263
0.161,0.27
0.154,0.261
0.157,0.231
0.172,0.243
0.158,0.228
0.155,0.235
0.167,0.232
0.157,0.227
0.154,0.239
0.149,0.235
0.172,0.262
0.147,0.259
0.165,0.279
