internal,end-to-end
0.974,1.102
4.704,6.654
4.506,9.619
6.196,10.492
4.166,11.391
0.16,9.425
0.253,6.643
0.595,2.903
0.62,2.306
0.232,23.371
0.245,22.597
1.205,22.627
0.339,21.972
0.315,21.517
1.794,23.378
0.19,22.576
0.956,22.659
0.547,22.16
0.969,22.409
5.134,31.07
6.695,36.725
0.313,36.03
0.279,35.336
0.812,35.278
0.255,34.534
0.283,33.934
1.463,34.351
0.877,34.332
1.334,34.825
7.218,44.923
2.758,93.534
0.476,111.857
1.804,112.893
0.862,112.639
0.317,111.111
0.685,110.252
0.418,124.231
0.54,131.062
0.823,128.272
0.439,124.313
0.239,118.717
1.035,116.862
1.091,117.126
1.223,117.24
2.742,118.663
3.859,153.461
3.224,175.981
1.397,174.11
1.552,169.709
2.537,164.799
