internal,end-to-end
4.519,4.564
4.844,7.738
4.416,13.111
2.002,12.205
6.862,18.347
4.874,22.836
0.657,21.525
0.892,20.859
1.171,18.342
0.597,34.84
8.67,40.064
3.694,40.976
1.085,40.311
3.432,42.268
3.335,45.377
1.409,45.815
8.535,58.326
2.006,174.649
0.185,244.004
6.302,258.38
5.569,265.79
6.202,271.914
7.244,280.817
6148914692.851,294.413
6148914691.453,337.709
3074457347.232,365.649
4.426,384.505
4.561,389.33
5.118,393.435
3.728,396.203
3.719,398.966
5.844,403.756
3.442,406.401
4.457,410.917
3.592,418.415
4.358,459.396
9.926,500.02
3074457348.995,505.043
