internal,end-to-end
0.208,0.261
5.476,3.623
3.273,5.672
0.501,3.985
2.611,5.295
1.242,7.495
0.46,5.903
0.154,2.165
0.168,0.303
1.317,23.603
6.94,29.553
5.256,34.346
0.252,33.608
9.968,42.625
4.84,48.097
1.163,48.283
5.767,105.878
3.014,129.698
5.866,135.022
3.96,138.666
4.859,143.248
5.809,148.95
5.796,155.528
0.166,162.633
11.337,178.525
6.157,184.228
0.208,183.394
0.232,186.272
0.173,188.012
2.725,190.127
1.83,219.056
0.404,231.227
5.106,234.453
4.414,235.924
4.005,236.494
4.275,240.535
1.493,262.499
3.634,274.95
5.412,276.174
