internal,end-to-end
0.18,0.249
0.171,0.237
0.164,0.235
0.182,0.273
0.166,0.257
0.164,0.259
0.173,0.292
0.161,0.287
0.166,0.289
0.157,22.401
0.164,21.55
0.153,20.693
0.163,19.833
0.153,18.972
0.165,18.119
0.166,17.276
0.167,16.443
0.172,15.613
0.19,14.795
0.18,13.962
0.156,13.126
0.169,12.289
0.181,11.459
0.178,10.63
0.182,9.82
0.166,8.964
0.158,8.116
0.176,7.287
0.171,6.449
0.169,5.611
0.158,4.738
0.165,3.859
0.155,2.985
0.158,2.101
0.152,1.217
0.162,0.343
0.17,0.287
0.154,0.273
0.163,0.285
0.172,0.241
0.168,0.236
0.165,0.237
0.179,0.249
0.165,0.237
0.165,0.245
0.182,0.271
0.156,0.253
0.157,0.255
0.15,0.274
0.161,0.28
