internal,end-to-end
1.796,1.865
4.269,6.356
12.264,20.453
9.567,24.217
0.181,11.894
1.296,6.594
0.807,3.57
1.474,3.09
3.692,7.013
0.276,27.094
1.133,22.746
2.014,24.207
0.885,24.125
0.358,23.693
8.344,31.491
5.639,36.756
4.805,40.499
7.62,175.147
8.326,242.187
1.829,243.161
3.552,246.938
5.623,252.582
5.095,258.384
1.449,273.721
0.839,280.95
1.407,281.374
0.661,281.033
0.454,280.491
0.526,280.004
0.261,279.283
0.901,279.22
2.803,280.704
1.273,331.88
3074457345.722,349.588
2.272,360.298
0.75,361.401
1.307,360.828
3.907,363.114
0.943,372.672
1.873,372.464
1.755,375.864
0.585,368.406
1.077,365.247
0.739,364.564
0.279,363.8
0.853,361.449
4.579,363.567
6.852,362.956
