internal,end-to-end
0.161,0.221
0.151,0.218
0.156,0.222
0.144,0.225
0.145,0.227
0.159,0.241
0.15,0.248
0.143,0.247
0.15,0.25
0.175,44.676
0.164,43.831
0.167,42.995
0.147,84.321
0.156,105.487
0.151,104.638
0.144,103.779
0.149,102.919
0.148,102.049
0.159,101.197
0.155,122.466
0.162,121.617
0.155,120.757
0.157,119.9
0.143,119.031
0.155,118.181
0.152,117.328
0.165,116.493
0.159,115.644
0.165,114.812
0.156,113.963
0.172,113.117
0.155,112.256
0.164,111.411
0.156,110.565
0.164,109.728
0.162,108.88
0.168,108.042
0.178,107.218
0.17,106.382
0.156,105.519
0.168,104.678
0.157,103.828
0.153,102.98
0.155,102.116
0.145,101.239
0.156,100.388
0.15,99.535
0.175,98.707
0.156,97.845
0.16,97.003
