internal,end-to-end,source_directory
0.489,0.51,results2
2.575,2.638,results2
0.168,2.802,results2
0.769,2.213,results2
0.615,3.493,results2
3.514,11.388,results2
1.097,10.857,results2
0.621,7.63,results2
3.979,6.552,results2
1.421,29.069,results2
2.622,29.439,results2
6.563,32.198,results2
1.3,32.5,results2
7.639,40.057,results2
4.803,47.565,results2
0.835,47.428,results2
6.173,52.55,results2
1.477,59.517,results2
0.156,58.617,results2
0.17,57.774,results2
2.199,58.962,results2
2.907,141.386,results2
4.519,4.564,results3
4.844,7.738,results3
4.416,13.111,results3
2.002,12.205,results3
6.862,18.347,results3
4.874,22.836,results3
0.657,21.525,results3
0.892,20.859,results3
1.171,18.342,results3
0.597,34.84,results3
8.67,40.064,results3
3.694,40.976,results3
1.085,40.311,results3
3.432,42.268,results3
3.335,45.377,results3
1.409,45.815,results3
8.535,58.326,results3
2.006,174.649,results3
0.185,244.004,results3
6.302,258.38,results3
5.569,265.79,results3
6.202,271.914,results3
7.244,280.817,results3
6148914692.851,294.413,results3
6148914691.453,337.709,results3
3074457347.232,365.649,results3
4.426,384.505,results3
4.561,389.33,results3
5.118,393.435,results3
3.728,396.203,results3
3.719,398.966,results3
5.844,403.756,results3
3.442,406.401,results3
4.457,410.917,results3
3.592,418.415,results3
4.358,459.396,results3
9.926,500.02,results3
3074457348.995,505.043,results3
0.433,0.67,results
0.931,1.165,results
6.256,8.715,results
0.19,32.731,results
5.825,44.031,results
0.464,41.87,results
3.265,42.925,results
3.494,52.118,results
9223372036.855,66.14,results
4.585,73.006,results
5.789,128.469,results
1.205,232.924,results
3.896,231.322,results
5.176,228.056,results
0.373,226.071,results
0.622,225.631,results
1.3,231.713,results
0.454,241.218,results
0.246,236.677,results
0.656,226.211,results
4.085,228.181,results
3.698,231.725,results
4.434,264.205,results
0.358,352.131,results
6148914693.212,387.54,results
0.329,408.46,results
0.483,473.841,results
3.124,538.158,results
5.076,541.822,results
1.35,542.311,results
3.765,544.804,results
