internal,end-to-end,source_directory
0.156,0.213,results2
0.161,0.232,results2
0.166,0.237,results2
0.169,0.254,results2
0.159,0.252,results2
0.161,0.249,results2
0.16,0.287,results2
0.161,0.285,results2
0.16,0.274,results2
0.164,22.419,results2
0.158,21.573,results2
0.163,20.716,results2
0.173,19.884,results2
0.155,19.033,results2
0.15,18.169,results2
0.165,17.329,results2
0.187,16.501,results2
0.168,15.662,results2
0.182,14.839,results2
0.198,14.059,results2
0.178,13.233,results2
0.163,12.377,results2
0.156,11.524,results2
0.16,10.681,results2
0.174,9.849,results2
0.215,9.061,results2
0.164,8.216,results2
0.15,7.363,results2
0.155,6.502,results2
0.155,5.662,results2
0.166,4.8,results2
0.17,3.928,results2
0.182,3.078,results2
0.163,2.21,results2
0.153,1.321,results2
0.156,0.428,results2
0.155,0.278,results2
0.152,0.282,results2
0.148,0.265,results2
0.159,0.224,results2
0.169,0.244,results2
0.156,0.221,results2
0.154,0.228,results2
0.161,0.224,results2
0.157,0.222,results2
0.151,0.245,results2
0.154,0.246,results2
0.158,0.254,results2
0.194,0.311,results2
0.165,0.283,results2
0.18,0.249,results3
0.171,0.237,results3
0.164,0.235,results3
0.182,0.273,results3
0.166,0.257,results3
0.164,0.259,results3
0.173,0.292,results3
0.161,0.287,results3
0.166,0.289,results3
0.157,22.401,results3
0.164,21.55,results3
0.153,20.693,results3
0.163,19.833,results3
0.153,18.972,results3
0.165,18.119,results3
0.166,17.276,results3
0.167,16.443,results3
0.172,15.613,results3
0.19,14.795,results3
0.18,13.962,results3
0.156,13.126,results3
0.169,12.289,results3
0.181,11.459,results3
0.178,10.63,results3
0.182,9.82,results3
0.166,8.964,results3
0.158,8.116,results3
0.176,7.287,results3
0.171,6.449,results3
0.169,5.611,results3
0.158,4.738,results3
0.165,3.859,results3
0.155,2.985,results3
0.158,2.101,results3
0.152,1.217,results3
0.162,0.343,results3
0.17,0.287,results3
0.154,0.273,results3
0.163,0.285,results3
0.172,0.241,results3
0.168,0.236,results3
0.165,0.237,results3
0.179,0.249,results3
0.165,0.237,results3
0.165,0.245,results3
0.182,0.271,results3
0.156,0.253,results3
0.157,0.255,results3
0.15,0.274,results3
0.161,0.28,results3
0.174,0.232,results
0.173,0.26,results
0.168,0.24,results
0.177,0.267,results
0.165,0.266,results
0.167,0.26,results
0.16,0.28,results
0.157,0.276,results
0.176,0.29,results
0.153,22.409,results
0.158,21.563,results
0.163,20.725,results
0.163,19.882,results
0.185,19.061,results
0.162,18.223,results
0.175,17.396,results
0.162,16.561,results
0.177,15.735,results
0.165,14.901,results
0.166,14.071,results
0.156,13.22,results
0.171,12.389,results
0.168,11.542,results
0.164,10.688,results
0.159,9.842,results
0.154,8.982,results
0.162,8.138,results
0.163,7.29,results
0.173,6.447,results
0.174,5.613,results
0.158,4.777,results
0.164,3.907,results
0.163,3.038,results
0.16,2.163,results
0.172,1.306,results
0.145,0.432,results
0.152,0.265,results
0.154,0.28,results
0.158,0.281,results
0.16,0.23,results
0.162,0.231,results
0.172,0.239,results
0.166,0.234,results
0.162,0.231,results
0.155,0.219,results
0.168,0.257,results
0.18,0.291,results
0.16,0.256,results
0.181,0.31,results
0.163,0.285,results
