internal,end-to-end,source_directory
0.157,0.206,results2
0.158,0.224,results2
0.153,0.217,results2
0.191,0.29,results2
0.159,0.248,results2
0.156,0.241,results2
0.156,0.264,results2
0.174,0.28,results2
0.153,0.268,results2
0.15,22.386,results2
0.157,21.534,results2
0.158,20.693,results2
0.167,19.858,results2
0.162,19.011,results2
0.175,18.177,results2
0.153,17.323,results2
0.163,16.484,results2
0.16,15.652,results2
0.158,14.801,results2
0.159,13.956,results2
0.171,13.121,results2
0.151,12.269,results2
0.145,11.403,results2
0.152,10.538,results2
0.155,9.693,results2
0.15,8.843,results2
0.141,7.978,results2
0.151,7.128,results2
0.149,6.278,results2
0.149,5.408,results2
0.148,4.533,results2
0.153,3.671,results2
0.155,2.819,results2
0.15,1.951,results2
0.14,1.065,results2
0.151,0.237,results2
0.153,0.253,results2
0.145,0.246,results2
0.155,0.265,results2
0.143,0.209,results2
0.162,0.221,results2
0.177,0.243,results2
0.148,0.217,results2
0.162,0.232,results2
0.146,0.21,results2
0.158,0.245,results2
0.152,0.24,results2
0.151,0.235,results2
0.151,0.256,results2
0.17,0.275,results2
0.157,0.215,results3
0.156,0.221,results3
0.157,0.225,results3
0.154,0.242,results3
0.146,0.239,results3
0.158,0.242,results3
0.171,0.286,results3
0.14,0.25,results3
0.174,0.288,results3
0.143,22.376,results3
0.164,21.538,results3
0.151,20.678,results3
0.163,19.835,results3
0.167,19.004,results3
0.16,18.165,results3
0.169,17.328,results3
0.15,16.486,results3
0.149,15.626,results3
0.151,14.757,results3
0.151,13.898,results3
0.139,13.02,results3
0.174,12.18,results3
0.15,11.318,results3
0.153,10.466,results3
0.163,9.602,results3
0.148,8.749,results3
0.159,7.903,results3
0.161,7.057,results3
0.154,6.204,results3
0.144,5.341,results3
0.154,4.487,results3
0.158,3.63,results3
0.175,2.785,results3
0.148,1.918,results3
0.155,1.069,results3
0.146,0.228,results3
0.154,0.263,results3
0.161,0.27,results3
0.154,0.261,results3
0.157,0.231,results3
0.172,0.243,results3
0.158,0.228,results3
0.155,0.235,results3
0.167,0.232,results3
0.157,0.227,results3
0.154,0.239,results3
0.149,0.235,results3
0.172,0.262,results3
0.147,0.259,results3
0.165,0.279,results3
0.155,0.205,results
0.158,0.226,results
0.2,0.27,results
0.156,0.244,results
0.147,0.239,results
0.16,0.25,results
0.165,0.276,results
0.157,0.271,results
0.145,0.247,results
0.161,22.413,results
0.155,21.553,results
0.147,20.693,results
0.158,19.849,results
0.156,19.001,results
0.156,18.15,results
0.157,17.303,results
0.164,16.456,results
0.154,15.617,results
0.166,14.771,results
0.148,13.904,results
0.157,13.05,results
0.159,12.223,results
0.154,11.369,results
0.167,10.527,results
0.163,9.675,results
0.151,8.82,results
0.163,7.975,results
0.174,7.151,results
0.192,6.324,results
0.168,5.49,results
0.147,4.624,results
0.161,3.775,results
0.164,2.936,results
0.147,2.069,results
0.149,1.209,results
0.159,0.351,results
0.156,0.266,results
0.15,0.262,results
0.156,0.263,results
0.151,0.217,results
0.158,0.227,results
0.156,0.236,results
0.167,0.237,results
0.164,0.231,results
0.15,0.219,results
0.154,0.241,results
0.152,0.236,results
0.156,0.241,results
0.162,0.275,results
0.165,0.282,results
