internal,end-to-end,source_directory
0.19,0.241,results2
0.187,0.256,results2
0.853,0.421,results2
0.449,0.605,results2
0.476,0.587,results2
1.788,2.898,results2
0.3,1.318,results2
0.304,0.495,results2
0.182,0.34,results2
0.164,22.411,results2
0.209,21.631,results2
0.197,20.798,results2
0.205,19.987,results2
0.187,19.127,results2
0.324,18.425,results2
0.193,17.614,results2
1.08,17.668,results2
0.331,16.982,results2
0.648,16.749,results2
0.155,15.855,results2
1.084,15.933,results2
0.514,15.492,results2
0.188,14.662,results2
0.3,13.974,results2
0.33,13.271,results2
0.261,12.52,results2
0.304,11.797,results2
0.39,39.257,results2
0.837,39.047,results2
0.314,38.314,results2
8.651,375.698,results2
0.165,374.747,results2
2.557,395.071,results2
0.198,415.108,results2
0.334,421.293,results2
0.305,420.477,results2
0.169,419.534,results2
0.42,418.736,results2
0.53,418.027,results2
0.344,417.114,results2
0.259,416.093,results2
0.4,415.02,results2
0.312,534.966,results2
0.548,593.343,results2
0.538,590.089,results2
0.21,0.248,results3
0.234,0.31,results3
0.955,1.033,results3
0.365,0.563,results3
0.639,0.766,results3
0.286,0.403,results3
0.389,0.518,results3
0.472,1.116,results3
0.161,0.309,results3
0.197,22.454,results3
0.396,21.849,results3
0.23,21.502,results3
0.185,20.674,results3
0.25,19.947,results3
0.506,19.402,results3
0.224,18.637,results3
0.21,17.871,results3
0.266,17.135,results3
0.418,16.504,results3
0.31,15.828,results3
0.532,15.419,results3
0.358,225.414,results3
0.235,246.365,results3
0.284,245.711,results3
0.542,245.405,results3
0.179,244.582,results3
0.215,243.811,results3
0.304,243.126,results3
1.447,308.887,results3
0.214,308.046,results3
0.165,307.145,results3
0.2,0.259,results
0.903,0.968,results
0.445,0.514,results
1.271,1.5,results
0.446,0.79,results
0.884,1.275,results
0.232,0.399,results
0.166,0.364,results
0.356,0.586,results
0.173,22.432,results
0.188,21.642,results
0.284,20.915,results
0.244,20.166,results
0.359,19.53,results
0.783,19.368,results
0.212,18.595,results
0.755,18.381,results
0.283,17.667,results
0.557,17.423,results
0.237,16.892,results
2.961,19.144,results
0.191,18.38,results
0.297,17.661,results
0.502,17.446,results
0.238,16.7,results
0.377,16.152,results
1.145,16.335,results
0.2,15.554,results
0.387,14.958,results
1.16,16.236,results
1.06,16.274,results
1.341,16.509,results
2.806,18.201,results
0.181,17.311,results
0.468,16.67,results
0.194,15.781,results
0.241,14.966,results
0.324,14.198,results
0.436,13.501,results
0.176,12.611,results
0.77,12.354,results
0.227,11.261,results
0.197,10.417,results
0.442,9.654,results
0.899,9.38,results
9.78,96.663,results
3.058,101.807,results
