internal,end-to-end,source_directory
0.178,0.23,results2
0.143,0.213,results2
0.173,0.239,results2
0.151,0.236,results2
0.172,0.268,results2
0.149,0.233,results2
0.177,0.286,results2
0.151,0.255,results2
0.163,0.267,results2
0.158,22.406,results2
0.151,21.549,results2
0.156,20.695,results2
0.2,19.905,results2
0.155,19.055,results2
0.155,18.202,results2
0.155,17.355,results2
0.152,16.505,results2
0.15,15.636,results2
0.157,14.794,results2
0.164,13.971,results2
0.163,13.136,results2
0.152,12.297,results2
0.162,11.47,results2
0.166,10.626,results2
0.156,9.765,results2
0.143,8.909,results2
0.158,8.069,results2
0.151,7.223,results2
0.201,6.423,results2
0.155,5.571,results2
0.165,4.74,results2
0.166,3.894,results2
0.149,3.034,results2
0.166,2.195,results2
0.149,1.335,results2
0.15,0.488,results2
0.152,0.255,results2
0.155,0.257,results2
0.142,0.242,results2
0.148,0.213,results2
0.148,0.218,results2
0.153,0.217,results2
0.159,0.231,results2
0.176,0.247,results2
0.152,0.223,results2
0.168,0.252,results2
0.151,0.234,results2
0.173,0.264,results2
0.158,0.266,results2
0.156,0.267,results2
0.161,0.221,results3
0.151,0.218,results3
0.156,0.222,results3
0.144,0.225,results3
0.145,0.227,results3
0.159,0.241,results3
0.15,0.248,results3
0.143,0.247,results3
0.15,0.25,results3
0.175,44.676,results3
0.164,43.831,results3
0.167,42.995,results3
0.147,84.321,results3
0.156,105.487,results3
0.151,104.638,results3
0.144,103.779,results3
0.149,102.919,results3
0.148,102.049,results3
0.159,101.197,results3
0.155,122.466,results3
0.162,121.617,results3
0.155,120.757,results3
0.157,119.9,results3
0.143,119.031,results3
0.155,118.181,results3
0.152,117.328,results3
0.165,116.493,results3
0.159,115.644,results3
0.165,114.812,results3
0.156,113.963,results3
0.172,113.117,results3
0.155,112.256,results3
0.164,111.411,results3
0.156,110.565,results3
0.164,109.728,results3
0.162,108.88,results3
0.168,108.042,results3
0.178,107.218,results3
0.17,106.382,results3
0.156,105.519,results3
0.168,104.678,results3
0.157,103.828,results3
0.153,102.98,results3
0.155,102.116,results3
0.145,101.239,results3
0.156,100.388,results3
0.15,99.535,results3
0.175,98.707,results3
0.156,97.845,results3
0.16,97.003,results3
