internal,end-to-end,source_directory
0.761,0.823,results2
1.105,1.187,results2
0.151,1.133,results2
1.364,1.689,results2
0.921,1.442,results2
2.321,8.578,results2
0.246,3.784,results2
1.373,1.529,results2
3.208,7.271,results2
0.187,28.357,results2
0.3,26.769,results2
1.345,23.216,results2
0.395,22.619,results2
1.598,23.592,results2
1.489,24.816,results2
0.441,24.278,results2
2.027,25.502,results2
7.138,32.264,results2
3.926,60.848,results2
0.275,106.145,results2
0.627,105.838,results2
0.91,105.81,results2
1.126,105.954,results2
1.091,106.416,results2
0.987,115.507,results2
0.581,129.832,results2
0.3,129.088,results2
0.444,128.827,results2
0.822,128.66,results2
0.898,128.551,results2
3074457346.652,142.023,results2
3074457345.775,210.727,results2
0.752,231.696,results2
1.085,231.609,results2
0.518,227.451,results2
0.266,226.185,results2
1.031,226.145,results2
2.39,223.708,results2
2.839,220.377,results2
2.681,217.762,results2
1.029,229.016,results2
0.367,394.462,results2
1.919,468.586,results2
7.864,514.284,results2
0.974,1.102,results3
4.704,6.654,results3
4.506,9.619,results3
6.196,10.492,results3
4.166,11.391,results3
0.16,9.425,results3
0.253,6.643,results3
0.595,2.903,results3
0.62,2.306,results3
0.232,23.371,results3
0.245,22.597,results3
1.205,22.627,results3
0.339,21.972,results3
0.315,21.517,results3
1.794,23.378,results3
0.19,22.576,results3
0.956,22.659,results3
0.547,22.16,results3
0.969,22.409,results3
5.134,31.07,results3
6.695,36.725,results3
0.313,36.03,results3
0.279,35.336,results3
0.812,35.278,results3
0.255,34.534,results3
0.283,33.934,results3
1.463,34.351,results3
0.877,34.332,results3
1.334,34.825,results3
7.218,44.923,results3
2.758,93.534,results3
0.476,111.857,results3
1.804,112.893,results3
0.862,112.639,results3
0.317,111.111,results3
0.685,110.252,results3
0.418,124.231,results3
0.54,131.062,results3
0.823,128.272,results3
0.439,124.313,results3
0.239,118.717,results3
1.035,116.862,results3
1.091,117.126,results3
1.223,117.24,results3
2.742,118.663,results3
3.859,153.461,results3
3.224,175.981,results3
1.397,174.11,results3
1.552,169.709,results3
2.537,164.799,results3
0.479,0.843,results
1.427,1.548,results
1.356,1.669,results
0.842,1.115,results
1.016,1.275,results
3.768,4.572,results
0.234,3.091,results
0.991,2.158,results
0.885,1.377,results
0.303,22.795,results
1.266,22.979,results
4.974,27.143,results
0.222,26.405,results
0.215,25.623,results
2.727,27.438,results
0.503,26.976,results
0.208,26.377,results
0.334,25.671,results
1.753,27.213,results
2.824,30.534,results
1.328,30.822,results
0.241,314.868,results
0.861,314.745,results
2.101,316.33,results
0.308,358.368,results
0.737,358.05,results
0.863,358.472,results
0.163,357.646,results
1.304,357.936,results
0.694,357.583,results
0.172,356.735,results
0.419,356.031,results
0.293,355.151,results
0.418,353.447,results
1.026,351.87,results
3.021,354.086,results
3.16,360.557,results
8.002,534.309,results
