internal,end-to-end,source_directory
0.172,0.231,results2
0.188,0.256,results2
0.157,0.224,results2
0.176,0.268,results2
0.159,0.255,results2
0.172,0.278,results2
0.177,0.305,results2
0.168,0.298,results2
0.164,0.291,results2
0.174,22.426,results2
0.167,21.592,results2
0.154,20.746,results2
0.173,19.932,results2
0.166,19.068,results2
0.169,18.216,results2
0.178,17.403,results2
0.18,16.584,results2
0.197,15.764,results2
0.189,14.949,results2
0.192,14.143,results2
0.149,13.296,results2
0.151,12.44,results2
0.161,11.613,results2
0.161,10.78,results2
0.16,9.93,results2
0.165,9.091,results2
0.178,8.256,results2
0.17,7.422,results2
0.148,6.547,results2
0.162,5.703,results2
0.16,4.867,results2
0.169,3.995,results2
0.158,3.086,results2
0.161,2.201,results2
0.166,1.32,results2
0.154,0.419,results2
0.171,0.301,results2
0.159,0.273,results2
0.163,0.286,results2
0.176,0.256,results2
0.164,0.236,results2
0.154,0.223,results2
0.174,0.244,results2
0.164,0.229,results2
0.171,0.242,results2
0.176,0.273,results2
0.169,0.271,results2
0.154,0.258,results2
0.177,0.311,results2
0.165,0.316,results2
0.185,0.246,results3
0.171,0.248,results3
0.177,0.247,results3
0.173,0.292,results3
0.171,0.269,results3
0.184,0.268,results3
0.154,0.282,results3
0.166,0.305,results3
0.15,0.291,results3
0.19,22.471,results3
0.173,21.627,results3
0.171,20.795,results3
0.183,19.969,results3
0.183,19.146,results3
0.176,18.302,results3
0.185,17.488,results3
0.199,16.676,results3
0.174,15.823,results3
0.175,14.999,results3
0.189,14.186,results3
0.183,13.371,results3
0.165,12.526,results3
0.155,11.678,results3
0.191,10.891,results3
0.179,10.076,results3
0.157,9.235,results3
0.159,8.403,results3
0.153,7.54,results3
0.155,6.687,results3
0.211,5.908,results3
0.159,5.048,results3
0.172,4.176,results3
0.18,3.306,results3
0.174,2.44,results3
0.185,1.556,results3
0.168,0.662,results3
0.198,0.351,results3
0.162,0.294,results3
0.17,0.305,results3
0.174,0.248,results3
0.166,0.249,results3
0.178,0.243,results3
0.162,0.233,results3
0.181,0.25,results3
0.166,0.235,results3
0.196,0.297,results3
0.177,0.289,results3
0.183,0.28,results3
0.174,0.325,results3
0.166,0.295,results3
0.16,0.209,results
0.173,0.24,results
0.163,0.233,results
0.162,0.262,results
0.166,0.27,results
0.158,0.259,results
0.172,0.297,results
0.192,0.336,results
0.173,0.309,results
0.166,22.408,results
0.154,21.543,results
0.159,20.702,results
0.173,19.869,results
0.173,19.037,results
0.186,18.196,results
0.164,17.35,results
0.156,16.516,results
0.17,15.673,results
0.157,14.822,results
0.15,13.954,results
0.169,13.117,results
0.159,12.28,results
0.176,11.449,results
0.166,10.599,results
0.196,9.815,results
0.168,8.973,results
0.178,8.135,results
0.165,7.296,results
0.161,6.442,results
0.16,5.585,results
0.156,4.735,results
0.178,3.873,results
0.195,3.027,results
0.191,2.182,results
0.193,1.338,results
0.17,0.428,results
0.182,0.318,results
0.167,0.307,results
0.194,0.317,results
0.16,0.218,results
0.164,0.231,results
0.166,0.229,results
0.175,0.263,results
0.15,0.222,results
0.174,0.24,results
0.169,0.268,results
0.183,0.278,results
0.17,0.276,results
0.168,0.301,results
0.16,0.299,results
