internal,end-to-end
0.462,0.503
1.052,1.181
0.426,2.014
2.962,3.385
2.629,9.131
0.163,6.298
0.252,1.581
0.98,1.391
2.716,3.78
2.005,140.192
0.204,144.668
5.371,149.088
0.65,148.768
3.201,151.102
4.84,156.008
0.406,177.59
1.176,178.045
1.428,178.438
0.468,177.916
0.192,177.078
1.35,177.412
0.478,176.918
0.297,176.165
1.531,176.663
8.714,185.232
3.176,188.111
4.589,228.477
0.5,241.093
2.424,242.832
4.47,246.341
4.411,249.733
8.65,259.555
0.207,258.778
1.581,259.611
0.325,258.885
1.647,259.531
0.38,258.92
1.713,259.593
3.615,262.336
0.662,263.386
0.189,262.811
0.173,261.967
0.395,261.358
1.788,262.091
2.324,263.461
4.057,267.368
6.391,275.633
4.643,280.033
0.431,279.496
1.269,279.776
