internal,end-to-end
0.16,0.209
0.173,0.24
0.163,0.233
0.162,0.262
0.166,0.27
0.158,0.259
0.172,0.297
0.192,0.336
0.173,0.309
0.166,22.408
0.154,21.543
0.159,20.702
0.173,19.869
0.173,19.037
0.186,18.196
0.164,17.35
0.156,16.516
0.17,15.673
0.157,14.822
0.15,13.954
0.169,13.117
0.159,12.28
0.176,11.449
0.166,10.599
0.196,9.815
0.168,8.973
0.178,8.135
0.165,7.296
0.161,6.442
0.16,5.585
0.156,4.735
0.178,3.873
0.195,3.027
0.191,2.182
0.193,1.338
0.17,0.428
0.182,0.318
0.167,0.307
0.194,0.317
0.16,0.218
0.164,0.231
0.166,0.229
0.175,0.263
0.15,0.222
0.174,0.24
0.169,0.268
0.183,0.278
0.17,0.276
0.168,0.301
0.16,0.299
