internal,end-to-end
0.174,0.232
0.173,0.26
0.168,0.24
0.177,0.267
0.165,0.266
0.167,0.26
0.16,0.28
0.157,0.276
0.176,0.29
0.153,22.409
0.158,21.563
0.163,20.725
0.163,19.882
0.185,19.061
0.162,18.223
0.175,17.396
0.162,16.561
0.177,15.735
0.165,14.901
0.166,14.071
0.156,13.22
0.171,12.389
0.168,11.542
0.164,10.688
0.159,9.842
0.154,8.982
0.162,8.138
0.163,7.29
0.173,6.447
0.174,5.613
0.158,4.777
0.164,3.907
0.163,3.038
0.16,2.163
0.172,1.306
0.145,0.432
0.152,0.265
0.154,0.28
0.158,0.281
0.16,0.23
0.162,0.231
0.172,0.239
0.166,0.234
0.162,0.231
0.155,0.219
0.168,0.257
0.18,0.291
0.16,0.256
0.181,0.31
0.163,0.285
