internal,end-to-end
0.479,0.843
1.427,1.548
1.356,1.669
0.842,1.115
1.016,1.275
3.768,4.572
0.234,3.091
0.991,2.158
0.885,1.377
0.303,22.795
1.266,22.979
4.974,27.143
0.222,26.405
0.215,25.623
2.727,27.438
0.503,26.976
0.208,26.377
0.334,25.671
1.753,27.213
2.824,30.534
1.328,30.822
0.241,314.868
0.861,314.745
2.101,316.33
0.308,358.368
0.737,358.05
0.863,358.472
0.163,357.646
1.304,357.936
0.694,357.583
0.172,356.735
0.419,356.031
0.293,355.151
0.418,353.447
1.026,351.87
3.021,354.086
3.16,360.557
8.002,534.309
