internal,end-to-end
0.2,0.259
0.903,0.968
0.445,0.514
1.271,1.5
0.446,0.79
0.884,1.275
0.232,0.399
0.166,0.364
0.356,0.586
0.173,22.432
0.188,21.642
0.284,20.915
0.244,20.166
0.359,19.53
0.783,19.368
0.212,18.595
0.755,18.381
0.283,17.667
0.557,17.423
0.237,16.892
2.961,19.144
0.191,18.38
0.297,17.661
0.502,17.446
0.238,16.7
0.377,16.152
1.145,16.335
0.2,15.554
0.387,14.958
1.16,16.236
1.06,16.274
1.341,16.509
2.806,18.201
0.181,17.311
0.468,16.67
0.194,15.781
0.241,14.966
0.324,14.198
0.436,13.501
0.176,12.611
0.77,12.354
0.227,11.261
0.197,10.417
0.442,9.654
0.899,9.38
9.78,96.663
3.058,101.807
