internal,end-to-end
0.3,0.399
2.737,2.9
2.773,3.578
0.511,1.203
4.421,6.413
11.43,17.913
1.519,14.79
4.695,13.068
7.28,15.793
0.245,35.756
2.231,33.336
3.766,33.915
4.548,35.534
6148914692.664,74.299
3074457348.466,95.774
6148914691.349,122.325
0.98,122.398
2.422,123.902
2.508,125.384
0.547,124.96
4.122,129.283
8.678,145.658
0.81,160.255
2.269,161.648
3.29,164.336
1.031,164.56
1.566,166.308
0.283,165.58
1.466,166.024
4.734,171.369
4.709,178.503
0.261,180.0
0.166,178.021
0.297,172.877
0.7,168.056
0.73,163.368
3.372,258.619
0.875,450.797
0.508,469.6
1.649,460.108
5.885,466.148
4.935,488.277
1.657,489.692
3.199,502.879
