internal,end-to-end
0.175,0.232
0.19,0.264
0.17,0.238
0.188,0.296
0.184,0.303
0.204,0.311
0.184,0.335
0.192,0.35
0.174,0.3
0.156,22.394
0.17,21.57
0.166,20.751
0.175,19.928
0.187,19.131
0.205,18.354
0.187,17.554
0.181,16.717
0.163,15.882
0.179,15.057
0.2,14.258
0.169,13.434
0.177,12.614
0.187,11.801
0.167,10.977
0.17,10.151
0.178,9.312
0.168,8.501
0.177,7.688
0.219,6.894
0.187,6.057
0.187,5.225
0.162,4.321
0.18,3.404
0.184,2.523
0.215,1.673
0.234,0.82
0.167,0.32
0.186,0.335
0.245,0.422
0.17,0.259
0.166,0.227
0.177,0.251
0.165,0.228
0.18,0.261
0.177,0.239
0.21,0.314
0.191,0.299
0.184,0.294
0.17,0.304
0.172,0.319
