internal,end-to-end
0.376,0.441
8.765,11.281
1.875,6.174
0.164,0.271
0.222,0.368
3.426,3.53
2.264,3.999
0.206,2.332
1.847,6.459
0.373,22.663
1.407,19.816
11.294,32.483
1.326,32.872
2.485,34.33
5.612,38.91
1.68,39.844
2.59,41.404
8.256,48.649
9223372036.855,64.891
0.616,64.545
8.166,72.026
0.594,72.947
0.609,114.082
0.948,159.787
6.504,165.395
5.025,169.712
0.159,283.259
0.158,282.224
1.531,290.809
5.461,374.37
6148914694.744,431.019
8.446,476.149
5.717,504.929
6148914691.937,534.962
8.304,580.869
1.137,620.629
