internal,end-to-end
0.19,0.241
0.187,0.256
0.853,0.421
0.449,0.605
0.476,0.587
1.788,2.898
0.3,1.318
0.304,0.495
0.182,0.34
0.164,22.411
0.209,21.631
0.197,20.798
0.205,19.987
0.187,19.127
0.324,18.425
0.193,17.614
1.08,17.668
0.331,16.982
0.648,16.749
0.155,15.855
1.084,15.933
0.514,15.492
0.188,14.662
0.3,13.974
0.33,13.271
0.261,12.52
0.304,11.797
0.39,39.257
0.837,39.047
0.314,38.314
8.651,375.698
0.165,374.747
2.557,395.071
0.198,415.108
0.334,421.293
0.305,420.477
0.169,419.534
0.42,418.736
0.53,418.027
0.344,417.114
0.259,416.093
0.4,415.02
0.312,534.966
0.548,593.343
0.538,590.089
