internal,end-to-end
0.156,0.213
0.161,0.232
0.166,0.237
0.169,0.254
0.159,0.252
0.161,0.249
0.16,0.287
0.161,0.285
0.16,0.274
0.164,22.419
0.158,21.573
0.163,20.716
0.173,19.884
0.155,19.033
0.15,18.169
0.165,17.329
0.187,16.501
0.168,15.662
0.182,14.839
0.198,14.059
0.178,13.233
0.163,12.377
0.156,11.524
0.16,10.681
0.174,9.849
0.215,9.061
0.164,8.216
0.15,7.363
0.155,6.502
0.155,5.662
0.166,4.8
0.17,3.928
0.182,3.078
0.163,2.21
0.153,1.321
0.156,0.428
0.155,0.278
0.152,0.282
0.148,0.265
0.159,0.224
0.169,0.244
0.156,0.221
0.154,0.228
0.161,0.224
0.157,0.222
0.151,0.245
0.154,0.246
0.158,0.254
0.194,0.311
0.165,0.283
