internal,end-to-end
0.162,0.219
0.179,0.244
0.189,0.257
0.172,0.292
0.287,0.417
0.169,0.28
0.192,0.339
0.181,0.388
0.232,0.385
0.199,22.483
0.181,21.671
0.181,20.838
0.174,20.024
0.178,19.17
0.164,18.312
0.202,17.503
0.201,16.73
0.169,15.86
0.191,15.046
0.171,14.202
0.175,13.374
0.16,12.532
0.172,11.697
0.179,10.867
0.224,10.087
0.179,9.227
0.181,8.411
0.193,7.587
0.185,6.733
0.175,5.898
0.165,5.018
0.187,4.098
0.239,3.229
0.157,2.315
0.212,1.429
0.21,0.521
0.177,0.335
0.174,0.296
0.199,0.368
0.174,0.235
0.189,0.256
0.197,0.272
0.183,0.255
0.19,0.261
0.205,0.271
0.173,0.283
0.2,0.346
0.186,0.314
0.161,0.326
0.173,0.355
