internal,end-to-end
0.172,0.231
0.188,0.256
0.157,0.224
0.176,0.268
0.159,0.255
0.172,0.278
0.177,0.305
0.168,0.298
0.164,0.291
0.174,22.426
0.167,21.592
0.154,20.746
0.173,19.932
0.166,19.068
0.169,18.216
0.178,17.403
0.18,16.584
0.197,15.764
0.189,14.949
0.192,14.143
0.149,13.296
0.151,12.44
0.161,11.613
0.161,10.78
0.16,9.93
0.165,9.091
0.178,8.256
0.17,7.422
0.148,6.547
0.162,5.703
0.16,4.867
0.169,3.995
0.158,3.086
0.161,2.201
0.166,1.32
0.154,0.419
0.171,0.301
0.159,0.273
0.163,0.286
0.176,0.256
0.164,0.236
0.154,0.223
0.174,0.244
0.164,0.229
0.171,0.242
0.176,0.273
0.169,0.271
0.154,0.258
0.177,0.311
0.165,0.316
