internal,end-to-end
0.761,0.823
1.105,1.187
0.151,1.133
1.364,1.689
0.921,1.442
2.321,8.578
0.246,3.784
1.373,1.529
3.208,7.271
0.187,28.357
0.3,26.769
1.345,23.216
0.395,22.619
1.598,23.592
1.489,24.816
0.441,24.278
2.027,25.502
7.138,32.264
3.926,60.848
0.275,106.145
0.627,105.838
0.91,105.81
1.126,105.954
1.091,106.416
0.987,115.507
0.581,129.832
0.3,129.088
0.444,128.827
0.822,128.66
0.898,128.551
3074457346.652,142.023
3074457345.775,210.727
0.752,231.696
1.085,231.609
0.518,227.451
0.266,226.185
1.031,226.145
2.39,223.708
2.839,220.377
2.681,217.762
1.029,229.016
0.367,394.462
1.919,468.586
7.864,514.284
