internal,end-to-end
0.178,0.23
0.143,0.213
0.173,0.239
0.151,0.236
0.172,0.268
0.149,0.233
0.177,0.286
0.151,0.255
0.163,0.267
0.158,22.406
0.151,21.549
0.156,20.695
0.2,19.905
0.155,19.055
0.155,18.202
0.155,17.355
0.152,16.505
0.15,15.636
0.157,14.794
0.164,13.971
0.163,13.136
0.152,12.297
0.162,11.47
0.166,10.626
0.156,9.765
0.143,8.909
0.158,8.069
0.151,7.223
0.201,6.423
0.155,5.571
0.165,4.74
0.166,3.894
0.149,3.034
0.166,2.195
0.149,1.335
0.15,0.488
0.152,0.255
0.155,0.257
0.142,0.242
0.148,0.213
0.148,0.218
0.153,0.217
0.159,0.231
0.176,0.247
0.152,0.223
0.168,0.252
0.151,0.234
0.173,0.264
0.158,0.266
0.156,0.267
