internal,end-to-end
0.157,0.206
0.158,0.224
0.153,0.217
0.191,0.29
0.159,0.248
0.156,0.241
0.156,0.264
0.174,0.28
0.153,0.268
0.15,22.386
0.157,21.534
0.158,20.693
0.167,19.858
0.162,19.011
0.175,18.177
0.153,17.323
0.163,16.484
0.16,15.652
0.158,14.801
0.159,13.956
0.171,13.121
0.151,12.269
0.145,11.403
0.152,10.538
0.155,9.693
0.15,8.843
0.141,7.978
0.151,7.128
0.149,6.278
0.149,5.408
0.148,4.533
0.153,3.671
0.155,2.819
0.15,1.951
0.14,1.065
0.151,0.237
0.153,0.253
0.145,0.246
0.155,0.265
0.143,0.209
0.162,0.221
0.177,0.243
0.148,0.217
0.162,0.232
0.146,0.21
0.158,0.245
0.152,0.24
0.151,0.235
0.151,0.256
0.17,0.275
