internal,end-to-end
0.144,0.205
0.154,0.22
0.169,0.243
0.172,0.259
0.159,0.247
0.144,0.233
0.155,0.264
0.136,0.24
0.16,0.267
0.164,22.421
0.159,21.574
0.157,20.723
0.163,19.866
0.164,19.02
0.146,18.145
0.152,17.273
0.159,16.41
0.169,15.553
0.155,14.687
0.154,13.837
0.147,12.971
0.149,12.104
0.147,11.242
0.154,10.388
0.152,9.532
0.16,8.68
0.157,7.814
0.157,6.951
0.156,6.088
0.154,5.221
0.159,4.369
0.153,3.505
0.152,2.639
0.153,1.777
0.163,0.916
0.152,0.237
0.15,0.262
0.166,0.276
0.16,0.27
0.156,0.224
0.165,0.237
0.157,0.22
0.161,0.229
0.156,0.227
0.168,0.231
0.153,0.239
0.165,0.265
0.159,0.248
0.15,0.259
0.156,0.263
