internal,end-to-end
0.165,0.22
0.15,0.213
0.158,0.229
0.159,0.252
0.162,0.261
0.158,0.249
0.149,0.254
0.149,0.251
0.139,0.245
0.161,87.424
0.151,86.557
0.163,85.69
0.153,84.846
0.163,84.009
0.152,83.152
0.149,104.422
0.162,103.54
0.155,102.674
0.167,101.829
0.191,101.002
0.156,100.151
0.159,99.307
0.162,98.46
0.152,97.59
0.149,96.736
0.185,95.912
0.157,95.045
0.154,94.189
0.16,93.321
0.149,92.467
0.17,91.624
0.182,90.79
0.157,89.924
0.158,89.073
0.154,88.203
0.152,87.331
0.147,86.451
0.153,85.585
0.168,84.722
0.155,83.864
0.191,83.034
0.156,82.177
0.158,81.326
0.154,80.464
0.152,79.593
0.148,78.725
0.17,77.868
0.153,77.005
0.166,76.16
0.165,75.306
