internal,end-to-end
0.147,0.201
0.154,0.22
0.163,0.226
0.159,0.245
0.145,0.228
0.159,0.245
0.153,0.261
0.149,0.257
0.154,0.256
0.148,22.383
0.16,21.546
0.158,20.7
0.15,19.856
0.158,19.01
0.153,18.142
0.169,17.304
0.155,16.459
0.149,15.604
0.172,14.77
0.164,13.938
0.152,13.085
0.159,12.241
0.159,11.405
0.153,10.552
0.153,9.707
0.154,8.855
0.152,8.003
0.152,7.147
0.166,6.309
0.147,5.448
0.156,4.598
0.143,3.722
0.158,2.87
0.148,2.001
0.154,1.14
0.162,0.285
0.165,0.27
0.16,0.276
0.164,0.269
0.162,0.235
0.146,0.214
0.151,0.225
0.144,0.209
0.161,0.221
0.163,0.235
0.159,0.246
0.183,0.272
0.151,0.241
0.157,0.266
0.148,0.246
