internal,end-to-end
0.144,0.194
0.155,0.216
0.154,0.226
0.166,0.263
0.163,0.253
0.153,0.236
0.162,0.279
0.155,0.259
0.168,0.289
0.156,22.394
0.157,21.554
0.159,20.706
0.166,19.861
0.142,18.983
0.149,18.115
0.151,17.258
0.16,16.415
0.139,15.552
0.16,14.706
0.161,13.858
0.155,12.996
0.151,12.135
0.151,11.271
0.156,10.41
0.152,9.557
0.146,8.701
0.144,7.83
0.156,6.98
0.156,6.13
0.159,5.274
0.148,4.395
0.161,3.549
0.179,2.731
0.164,1.89
0.158,1.044
0.179,0.267
0.175,0.287
0.179,0.293
0.164,0.276
0.213,0.275
0.171,0.236
0.162,0.232
0.155,0.222
0.159,0.23
0.166,0.23
0.15,0.24
0.152,0.237
0.155,0.242
0.175,0.288
0.143,0.247
