internal,end-to-end
0.162,0.219
0.163,0.231
0.156,0.224
0.15,0.242
0.149,0.24
0.189,0.299
0.173,0.286
0.161,0.266
0.142,0.251
0.149,22.385
0.145,21.508
0.162,20.652
0.153,19.78
0.162,18.938
0.15,18.066
0.151,17.216
0.157,16.364
0.153,15.509
0.158,14.657
0.152,13.784
0.152,12.928
0.164,12.075
0.161,11.221
0.153,10.354
0.181,9.517
0.178,8.698
0.161,7.843
0.164,6.992
0.161,6.14
0.155,5.283
0.182,4.438
0.143,3.561
0.165,2.726
0.168,1.867
0.161,1.003
0.166,0.256
0.178,0.297
0.157,0.267
0.165,0.282
0.158,0.228
0.147,0.21
0.16,0.225
0.153,0.222
0.153,0.22
0.163,0.227
0.151,0.239
0.146,0.233
0.162,0.246
0.154,0.264
0.145,0.253
