internal,end-to-end
0.157,0.213
0.162,0.23
0.167,0.233
0.163,0.252
0.158,0.247
0.16,0.252
0.16,0.27
0.153,0.263
0.151,0.255
0.153,22.413
0.152,21.547
0.161,20.701
0.146,19.835
0.149,18.966
0.157,18.104
0.146,17.234
0.163,16.372
0.159,15.518
0.14,14.63
0.15,13.762
0.163,12.907
0.156,12.054
0.148,11.187
0.162,10.324
0.164,9.489
0.155,8.622
0.149,7.753
0.159,6.905
0.137,6.02
0.153,5.153
0.15,4.291
0.149,3.419
0.169,2.569
0.151,1.705
0.147,0.839
0.152,0.237
0.164,0.269
0.172,0.281
0.179,0.288
0.179,0.251
0.173,0.248
0.193,0.264
0.148,0.21
0.157,0.227
0.152,0.22
0.155,0.241
0.152,0.241
0.151,0.239
0.155,0.259
0.165,0.274
