internal,end-to-end
0.152,0.211
0.153,0.226
0.155,0.225
0.142,0.227
0.154,0.238
0.156,0.248
0.17,0.275
0.164,0.275
0.189,0.304
0.164,22.394
0.16,21.532
0.164,20.673
0.18,19.834
0.143,18.926
0.144,18.048
0.15,17.179
0.155,16.31
0.156,15.461
0.152,14.595
0.154,13.739
0.159,12.881
0.152,12.019
0.151,11.154
0.15,10.295
0.172,9.451
0.157,8.584
0.165,7.739
0.155,6.901
0.148,6.033
0.154,5.182
0.19,4.373
0.179,3.528
0.15,2.666
0.169,1.825
0.164,0.974
0.178,0.271
0.156,0.259
0.168,0.284
0.157,0.272
0.157,0.229
0.157,0.228
0.148,0.217
0.139,0.201
0.146,0.209
0.154,0.217
0.148,0.233
0.166,0.254
0.145,0.232
0.162,0.27
0.143,0.254
