internal,end-to-end
0.154,0.217
0.155,0.225
0.165,0.234
0.145,0.237
0.155,0.249
0.165,0.252
0.143,0.253
0.15,0.256
0.16,0.269
0.148,22.385
0.16,21.53
0.147,20.657
0.16,19.808
0.164,18.945
0.157,18.081
0.149,17.21
0.16,16.356
0.171,15.5
0.161,14.64
0.16,13.79
0.157,12.931
0.156,12.077
0.156,11.205
0.163,10.349
0.147,9.474
0.152,8.607
0.161,7.759
0.168,6.921
0.166,6.062
0.159,5.216
0.166,4.367
0.16,3.513
0.146,2.644
0.161,1.794
0.171,0.955
0.145,0.227
0.151,0.261
0.168,0.282
0.147,0.251
0.171,0.236
0.167,0.241
0.157,0.226
0.163,0.234
0.181,0.256
0.167,0.235
0.148,0.235
0.158,0.248
0.165,0.261
0.157,0.266
0.151,0.254
