internal,end-to-end
0.157,0.216
0.158,0.224
0.155,0.226
0.16,0.253
0.155,0.246
0.151,0.239
0.151,0.253
0.153,0.267
0.15,0.259
0.149,22.396
0.147,21.53
0.149,20.651
0.156,19.79
0.161,18.936
0.146,18.062
0.167,17.222
0.149,16.377
0.154,15.519
0.152,14.667
0.157,13.851
0.155,13.012
0.154,12.161
0.147,11.284
0.159,10.422
0.142,9.551
0.159,8.696
0.152,7.832
0.139,6.946
0.165,6.101
0.156,5.242
0.154,4.391
0.145,3.523
0.15,2.644
0.146,1.781
0.153,0.915
0.156,0.238
0.151,0.261
0.165,0.269
0.152,0.259
0.153,0.22
0.161,0.233
0.164,0.246
0.161,0.224
0.144,0.21
0.16,0.227
0.148,0.236
0.177,0.288
0.161,0.248
0.164,0.272
0.157,0.263
