internal,end-to-end,source_directory
0.144,0.194,fixed_results1
0.155,0.216,fixed_results1
0.154,0.226,fixed_results1
0.166,0.263,fixed_results1
0.163,0.253,fixed_results1
0.153,0.236,fixed_results1
0.162,0.279,fixed_results1
0.155,0.259,fixed_results1
0.168,0.289,fixed_results1
0.156,22.394,fixed_results1
0.157,21.554,fixed_results1
0.159,20.706,fixed_results1
0.166,19.861,fixed_results1
0.142,18.983,fixed_results1
0.149,18.115,fixed_results1
0.151,17.258,fixed_results1
0.16,16.415,fixed_results1
0.139,15.552,fixed_results1
0.16,14.706,fixed_results1
0.161,13.858,fixed_results1
0.155,12.996,fixed_results1
0.151,12.135,fixed_results1
0.151,11.271,fixed_results1
0.156,10.41,fixed_results1
0.152,9.557,fixed_results1
0.146,8.701,fixed_results1
0.144,7.83,fixed_results1
0.156,6.98,fixed_results1
0.156,6.13,fixed_results1
0.159,5.274,fixed_results1
0.148,4.395,fixed_results1
0.161,3.549,fixed_results1
0.179,2.731,fixed_results1
0.164,1.89,fixed_results1
0.158,1.044,fixed_results1
0.179,0.267,fixed_results1
0.175,0.287,fixed_results1
0.179,0.293,fixed_results1
0.164,0.276,fixed_results1
0.213,0.275,fixed_results1
0.171,0.236,fixed_results1
0.162,0.232,fixed_results1
0.155,0.222,fixed_results1
0.159,0.23,fixed_results1
0.166,0.23,fixed_results1
0.15,0.24,fixed_results1
0.152,0.237,fixed_results1
0.155,0.242,fixed_results1
0.175,0.288,fixed_results1
0.143,0.247,fixed_results1
