internal,end-to-end,source_directory
0.157,0.216,fixed_results1
0.158,0.224,fixed_results1
0.155,0.226,fixed_results1
0.16,0.253,fixed_results1
0.155,0.246,fixed_results1
0.151,0.239,fixed_results1
0.151,0.253,fixed_results1
0.153,0.267,fixed_results1
0.15,0.259,fixed_results1
0.149,22.396,fixed_results1
0.147,21.53,fixed_results1
0.149,20.651,fixed_results1
0.156,19.79,fixed_results1
0.161,18.936,fixed_results1
0.146,18.062,fixed_results1
0.167,17.222,fixed_results1
0.149,16.377,fixed_results1
0.154,15.519,fixed_results1
0.152,14.667,fixed_results1
0.157,13.851,fixed_results1
0.155,13.012,fixed_results1
0.154,12.161,fixed_results1
0.147,11.284,fixed_results1
0.159,10.422,fixed_results1
0.142,9.551,fixed_results1
0.159,8.696,fixed_results1
0.152,7.832,fixed_results1
0.139,6.946,fixed_results1
0.165,6.101,fixed_results1
0.156,5.242,fixed_results1
0.154,4.391,fixed_results1
0.145,3.523,fixed_results1
0.15,2.644,fixed_results1
0.146,1.781,fixed_results1
0.153,0.915,fixed_results1
0.156,0.238,fixed_results1
0.151,0.261,fixed_results1
0.165,0.269,fixed_results1
0.152,0.259,fixed_results1
0.153,0.22,fixed_results1
0.161,0.233,fixed_results1
0.164,0.246,fixed_results1
0.161,0.224,fixed_results1
0.144,0.21,fixed_results1
0.16,0.227,fixed_results1
0.148,0.236,fixed_results1
0.177,0.288,fixed_results1
0.161,0.248,fixed_results1
0.164,0.272,fixed_results1
0.157,0.263,fixed_results1
