internal,end-to-end,source_directory
0.161,0.215,fixed_results1
0.154,0.22,fixed_results1
0.148,0.217,fixed_results1
0.154,0.235,fixed_results1
0.162,0.249,fixed_results1
0.161,0.247,fixed_results1
0.149,0.254,fixed_results1
0.161,0.266,fixed_results1
0.159,0.267,fixed_results1
0.152,22.395,fixed_results1
0.152,21.585,fixed_results1
0.157,20.743,fixed_results1
0.152,19.895,fixed_results1
0.143,19.056,fixed_results1
0.157,18.209,fixed_results1
0.151,17.347,fixed_results1
0.152,16.52,fixed_results1
0.143,15.664,fixed_results1
0.151,14.797,fixed_results1
0.155,13.982,fixed_results1
0.156,13.137,fixed_results1
0.156,12.276,fixed_results1
0.167,11.456,fixed_results1
0.151,10.625,fixed_results1
0.154,9.771,fixed_results1
0.15,8.925,fixed_results1
0.162,8.083,fixed_results1
0.169,7.25,fixed_results1
0.16,6.422,fixed_results1
0.149,5.585,fixed_results1
0.145,4.736,fixed_results1
0.149,3.913,fixed_results1
0.158,3.128,fixed_results1
0.157,2.276,fixed_results1
0.156,1.47,fixed_results1
0.163,0.644,fixed_results1
0.167,0.28,fixed_results1
0.156,0.268,fixed_results1
0.153,0.253,fixed_results1
0.153,0.216,fixed_results1
0.152,0.218,fixed_results1
0.146,0.214,fixed_results1
0.149,0.211,fixed_results1
0.149,0.211,fixed_results1
0.171,0.238,fixed_results1
0.19,0.284,fixed_results1
0.167,0.26,fixed_results1
0.14,0.221,fixed_results1
0.153,0.26,fixed_results1
0.151,0.255,fixed_results1
