internal,end-to-end,source_directory
0.152,0.211,fixed_results1
0.153,0.226,fixed_results1
0.155,0.225,fixed_results1
0.142,0.227,fixed_results1
0.154,0.238,fixed_results1
0.156,0.248,fixed_results1
0.17,0.275,fixed_results1
0.164,0.275,fixed_results1
0.189,0.304,fixed_results1
0.164,22.394,fixed_results1
0.16,21.532,fixed_results1
0.164,20.673,fixed_results1
0.18,19.834,fixed_results1
0.143,18.926,fixed_results1
0.144,18.048,fixed_results1
0.15,17.179,fixed_results1
0.155,16.31,fixed_results1
0.156,15.461,fixed_results1
0.152,14.595,fixed_results1
0.154,13.739,fixed_results1
0.159,12.881,fixed_results1
0.152,12.019,fixed_results1
0.151,11.154,fixed_results1
0.15,10.295,fixed_results1
0.172,9.451,fixed_results1
0.157,8.584,fixed_results1
0.165,7.739,fixed_results1
0.155,6.901,fixed_results1
0.148,6.033,fixed_results1
0.154,5.182,fixed_results1
0.19,4.373,fixed_results1
0.179,3.528,fixed_results1
0.15,2.666,fixed_results1
0.169,1.825,fixed_results1
0.164,0.974,fixed_results1
0.178,0.271,fixed_results1
0.156,0.259,fixed_results1
0.168,0.284,fixed_results1
0.157,0.272,fixed_results1
0.157,0.229,fixed_results1
0.157,0.228,fixed_results1
0.148,0.217,fixed_results1
0.139,0.201,fixed_results1
0.146,0.209,fixed_results1
0.154,0.217,fixed_results1
0.148,0.233,fixed_results1
0.166,0.254,fixed_results1
0.145,0.232,fixed_results1
0.162,0.27,fixed_results1
0.143,0.254,fixed_results1
