internal,end-to-end,source_directory
0.155,0.205,fixed_results1
0.147,0.211,fixed_results1
0.159,0.223,fixed_results1
0.16,0.245,fixed_results1
0.164,0.252,fixed_results1
0.151,0.244,fixed_results1
0.178,0.29,fixed_results1
0.142,0.249,fixed_results1
0.152,0.261,fixed_results1
0.157,22.394,fixed_results1
0.158,21.548,fixed_results1
0.168,20.711,fixed_results1
0.155,19.866,fixed_results1
0.154,19.054,fixed_results1
0.15,18.198,fixed_results1
0.153,17.338,fixed_results1
0.156,16.488,fixed_results1
0.163,15.684,fixed_results1
0.154,14.849,fixed_results1
0.161,14.034,fixed_results1
0.172,13.201,fixed_results1
0.16,12.362,fixed_results1
0.169,11.55,fixed_results1
0.157,10.774,fixed_results1
0.161,9.928,fixed_results1
0.169,9.179,fixed_results1
0.177,8.372,fixed_results1
0.152,7.513,fixed_results1
0.145,6.656,fixed_results1
0.159,5.801,fixed_results1
0.156,5.005,fixed_results1
0.152,4.186,fixed_results1
0.155,3.362,fixed_results1
0.15,2.51,fixed_results1
0.166,1.671,fixed_results1
0.169,0.851,fixed_results1
0.143,0.247,fixed_results1
0.167,0.29,fixed_results1
0.151,0.259,fixed_results1
0.155,0.223,fixed_results1
0.155,0.219,fixed_results1
0.153,0.223,fixed_results1
0.164,0.232,fixed_results1
0.181,0.254,fixed_results1
0.15,0.214,fixed_results1
0.169,0.252,fixed_results1
0.162,0.251,fixed_results1
0.161,0.247,fixed_results1
0.172,0.277,fixed_results1
0.161,0.267,fixed_results1
