internal,end-to-end,source_directory
0.144,0.205,fixed_results1
0.154,0.22,fixed_results1
0.169,0.243,fixed_results1
0.172,0.259,fixed_results1
0.159,0.247,fixed_results1
0.144,0.233,fixed_results1
0.155,0.264,fixed_results1
0.136,0.24,fixed_results1
0.16,0.267,fixed_results1
0.164,22.421,fixed_results1
0.159,21.574,fixed_results1
0.157,20.723,fixed_results1
0.163,19.866,fixed_results1
0.164,19.02,fixed_results1
0.146,18.145,fixed_results1
0.152,17.273,fixed_results1
0.159,16.41,fixed_results1
0.169,15.553,fixed_results1
0.155,14.687,fixed_results1
0.154,13.837,fixed_results1
0.147,12.971,fixed_results1
0.149,12.104,fixed_results1
0.147,11.242,fixed_results1
0.154,10.388,fixed_results1
0.152,9.532,fixed_results1
0.16,8.68,fixed_results1
0.157,7.814,fixed_results1
0.157,6.951,fixed_results1
0.156,6.088,fixed_results1
0.154,5.221,fixed_results1
0.159,4.369,fixed_results1
0.153,3.505,fixed_results1
0.152,2.639,fixed_results1
0.153,1.777,fixed_results1
0.163,0.916,fixed_results1
0.152,0.237,fixed_results1
0.15,0.262,fixed_results1
0.166,0.276,fixed_results1
0.16,0.27,fixed_results1
0.156,0.224,fixed_results1
0.165,0.237,fixed_results1
0.157,0.22,fixed_results1
0.161,0.229,fixed_results1
0.156,0.227,fixed_results1
0.168,0.231,fixed_results1
0.153,0.239,fixed_results1
0.165,0.265,fixed_results1
0.159,0.248,fixed_results1
0.15,0.259,fixed_results1
0.156,0.263,fixed_results1
