internal,end-to-end,source_directory
0.157,0.213,fixed_results1
0.162,0.23,fixed_results1
0.167,0.233,fixed_results1
0.163,0.252,fixed_results1
0.158,0.247,fixed_results1
0.16,0.252,fixed_results1
0.16,0.27,fixed_results1
0.153,0.263,fixed_results1
0.151,0.255,fixed_results1
0.153,22.413,fixed_results1
0.152,21.547,fixed_results1
0.161,20.701,fixed_results1
0.146,19.835,fixed_results1
0.149,18.966,fixed_results1
0.157,18.104,fixed_results1
0.146,17.234,fixed_results1
0.163,16.372,fixed_results1
0.159,15.518,fixed_results1
0.14,14.63,fixed_results1
0.15,13.762,fixed_results1
0.163,12.907,fixed_results1
0.156,12.054,fixed_results1
0.148,11.187,fixed_results1
0.162,10.324,fixed_results1
0.164,9.489,fixed_results1
0.155,8.622,fixed_results1
0.149,7.753,fixed_results1
0.159,6.905,fixed_results1
0.137,6.02,fixed_results1
0.153,5.153,fixed_results1
0.15,4.291,fixed_results1
0.149,3.419,fixed_results1
0.169,2.569,fixed_results1
0.151,1.705,fixed_results1
0.147,0.839,fixed_results1
0.152,0.237,fixed_results1
0.164,0.269,fixed_results1
0.172,0.281,fixed_results1
0.179,0.288,fixed_results1
0.179,0.251,fixed_results1
0.173,0.248,fixed_results1
0.193,0.264,fixed_results1
0.148,0.21,fixed_results1
0.157,0.227,fixed_results1
0.152,0.22,fixed_results1
0.155,0.241,fixed_results1
0.152,0.241,fixed_results1
0.151,0.239,fixed_results1
0.155,0.259,fixed_results1
0.165,0.274,fixed_results1
