internal,end-to-end,source_directory
0.162,0.219,fixed_results1
0.163,0.231,fixed_results1
0.156,0.224,fixed_results1
0.15,0.242,fixed_results1
0.149,0.24,fixed_results1
0.189,0.299,fixed_results1
0.173,0.286,fixed_results1
0.161,0.266,fixed_results1
0.142,0.251,fixed_results1
0.149,22.385,fixed_results1
0.145,21.508,fixed_results1
0.162,20.652,fixed_results1
0.153,19.78,fixed_results1
0.162,18.938,fixed_results1
0.15,18.066,fixed_results1
0.151,17.216,fixed_results1
0.157,16.364,fixed_results1
0.153,15.509,fixed_results1
0.158,14.657,fixed_results1
0.152,13.784,fixed_results1
0.152,12.928,fixed_results1
0.164,12.075,fixed_results1
0.161,11.221,fixed_results1
0.153,10.354,fixed_results1
0.181,9.517,fixed_results1
0.178,8.698,fixed_results1
0.161,7.843,fixed_results1
0.164,6.992,fixed_results1
0.161,6.14,fixed_results1
0.155,5.283,fixed_results1
0.182,4.438,fixed_results1
0.143,3.561,fixed_results1
0.165,2.726,fixed_results1
0.168,1.867,fixed_results1
0.161,1.003,fixed_results1
0.166,0.256,fixed_results1
0.178,0.297,fixed_results1
0.157,0.267,fixed_results1
0.165,0.282,fixed_results1
0.158,0.228,fixed_results1
0.147,0.21,fixed_results1
0.16,0.225,fixed_results1
0.153,0.222,fixed_results1
0.153,0.22,fixed_results1
0.163,0.227,fixed_results1
0.151,0.239,fixed_results1
0.146,0.233,fixed_results1
0.162,0.246,fixed_results1
0.154,0.264,fixed_results1
0.145,0.253,fixed_results1
