internal,end-to-end,source_directory
0.147,0.201,fixed_results1
0.154,0.22,fixed_results1
0.163,0.226,fixed_results1
0.159,0.245,fixed_results1
0.145,0.228,fixed_results1
0.159,0.245,fixed_results1
0.153,0.261,fixed_results1
0.149,0.257,fixed_results1
0.154,0.256,fixed_results1
0.148,22.383,fixed_results1
0.16,21.546,fixed_results1
0.158,20.7,fixed_results1
0.15,19.856,fixed_results1
0.158,19.01,fixed_results1
0.153,18.142,fixed_results1
0.169,17.304,fixed_results1
0.155,16.459,fixed_results1
0.149,15.604,fixed_results1
0.172,14.77,fixed_results1
0.164,13.938,fixed_results1
0.152,13.085,fixed_results1
0.159,12.241,fixed_results1
0.159,11.405,fixed_results1
0.153,10.552,fixed_results1
0.153,9.707,fixed_results1
0.154,8.855,fixed_results1
0.152,8.003,fixed_results1
0.152,7.147,fixed_results1
0.166,6.309,fixed_results1
0.147,5.448,fixed_results1
0.156,4.598,fixed_results1
0.143,3.722,fixed_results1
0.158,2.87,fixed_results1
0.148,2.001,fixed_results1
0.154,1.14,fixed_results1
0.162,0.285,fixed_results1
0.165,0.27,fixed_results1
0.16,0.276,fixed_results1
0.164,0.269,fixed_results1
0.162,0.235,fixed_results1
0.146,0.214,fixed_results1
0.151,0.225,fixed_results1
0.144,0.209,fixed_results1
0.161,0.221,fixed_results1
0.163,0.235,fixed_results1
0.159,0.246,fixed_results1
0.183,0.272,fixed_results1
0.151,0.241,fixed_results1
0.157,0.266,fixed_results1
0.148,0.246,fixed_results1
