internal,end-to-end,source_directory
0.154,0.217,fixed_results1
0.155,0.225,fixed_results1
0.165,0.234,fixed_results1
0.145,0.237,fixed_results1
0.155,0.249,fixed_results1
0.165,0.252,fixed_results1
0.143,0.253,fixed_results1
0.15,0.256,fixed_results1
0.16,0.269,fixed_results1
0.148,22.385,fixed_results1
0.16,21.53,fixed_results1
0.147,20.657,fixed_results1
0.16,19.808,fixed_results1
0.164,18.945,fixed_results1
0.157,18.081,fixed_results1
0.149,17.21,fixed_results1
0.16,16.356,fixed_results1
0.171,15.5,fixed_results1
0.161,14.64,fixed_results1
0.16,13.79,fixed_results1
0.157,12.931,fixed_results1
0.156,12.077,fixed_results1
0.156,11.205,fixed_results1
0.163,10.349,fixed_results1
0.147,9.474,fixed_results1
0.152,8.607,fixed_results1
0.161,7.759,fixed_results1
0.168,6.921,fixed_results1
0.166,6.062,fixed_results1
0.159,5.216,fixed_results1
0.166,4.367,fixed_results1
0.16,3.513,fixed_results1
0.146,2.644,fixed_results1
0.161,1.794,fixed_results1
0.171,0.955,fixed_results1
0.145,0.227,fixed_results1
0.151,0.261,fixed_results1
0.168,0.282,fixed_results1
0.147,0.251,fixed_results1
0.171,0.236,fixed_results1
0.167,0.241,fixed_results1
0.157,0.226,fixed_results1
0.163,0.234,fixed_results1
0.181,0.256,fixed_results1
0.167,0.235,fixed_results1
0.148,0.235,fixed_results1
0.158,0.248,fixed_results1
0.165,0.261,fixed_results1
0.157,0.266,fixed_results1
0.151,0.254,fixed_results1
